ula de emu feye baha ha seme jai jergi beiguwan i caliyan ,	O O O O O O O O O O O O O
juse omosi jalan hala me gosi re doro be ume lashala ra .	O O O O O O O O O O O O O
hai jeo i tsanjiyang be sin de kamcibu ha ,	BSC-B BSC-I O O O O O O O O
han i bithe ,	O O O O
han ,	O O
šan cio san ,	BSC-B BSC-I BSC-I O
giyai ehe nantuhūn be icihiyabu re ,	O O O O O O O
men i gaji ha niyalma ,	O O O O O O
ula de emu feye baha ha seme juwan emu yan i weile waliya mbi ,	O O O O O O O O O O O O O O O
karun ,	O O
noimohon ,	PER-B O
jafu bithe ali me gai fi ,	O O O O O O O
ice niyalma seme weile waliya ha .	O O O O O O O
hasan bi ,	O O O
hafan gemu bithe i jurgan be sarkū ,	O O O O O O O O
emu juwe niyalma ,	O O O O
wan lii i sunjaci aniya jorgon biya i ice sunja de baha ha ,	BSC-B BSC-I O O O O O O O O O O O O
ere gisun i songko i fonji me ilga fi ,	O O O O O O O O O O
○ orin nadan de ,	O O O O O
cooha be kadala me ete mbi seme ,	O O O O O O O O
tere ci tuci ke cooha be bošo me gama fi ,	O O O O O O O O O O O
amba poo juwan ,	O O O O
je ci ,	O O O
○ jakūn iogi ,	O O O O
han i cacari be hūlha me gama fi efule fi in i boo i haha de etubu hebi ,	O O O O O O O O O O O O O O O O O O O
muse i beye enteheme banji mbi o ,	O O O O O O O O
kicenggu ,	PER-B O
ula i gurun i mantai han i jui ,	O O O O BSC-B BSC-I O O O
tede ara fi unggi he bithe i gisun ,	O O O O O O O O O
angkūn ,	PER-B O
mantai ,	PER-B O
turgei dzung bing guwan de ,	PER-B O O O O O
ukanju gene fi muse i cooha jura ka be alana fi nikan sere rahū ,	O O O O O O O O O O O O O O O
jaciba ,	PER-B O
jori ha jurgan be jurce rakū seme beiguwan obu ha .	O O O O O O O O O O O
ejen ara fi unggi ∅ ,	O O O O O O
nangnuk ,	PER-B O
ilan hehe be gaji fi saiša me ,	O O O O O O O O
bi gashū re seme hendu he manggi ,	O O O O O O O O
tere ubaliya ka gurgu i yali be tooda me gai ∅ ,	O O O O O O O O O O O O
mangga i hendu ci ,	O O O O O
tenteke niyalma de han ,	O O O O O
○ juwan emu de ,	O O O O O
gisun be iogi hergen efule he .	O O O O O O O
juse be suwen de bu hebi dere ,	O O O O O O O O
sain be sain ,	O O O O
min i enen hūncihin gemu buce mbi kai ,	O O O O O O O O O
tungken ,	O O
min i yehe de bisi re jui be baha ha manggi ,	O O O O O O O O O O O O
○ hūngniyaka be ,	O PER-B O O
muhaliyan i tsanjiyang ni hergen be nakabu fi beiguwan obu ha ,	O O O O O O O O O O O O
ulkun amcana fi emu tanggū nadanju niyalma wa ha ,	PER-B O O O O O O O O O
jakūn beile se i emte tokso jaka i niyalma ,	O O O O O O O O O O
tere cooha gida ha inenggi ,	O O O O O O
ala ha gisun be beile se min de wesimbu hekū ,	O O O O O O O O O O O
songko faita ∅ seme ,	O O O O O
nikan i kiyangdu hoki aca fi duri me cuwangna me yabu re ngge be ,	O O O O O O O O O O O O O O O
ninggun niyalma ,	O O O
han i boo de beile se amban sa sarila me isa cibe ,	O O O O O O O O O O O O O
ere senggi gese senggi tuci me ,	O O O O O O O
niru tome wasimbu ha ,	O O O O O
gūni ha duin gisun be wesimbu mbi ,	O O O O O O O O
jakūn gūsa i jakūn ubu sinda me faita me wa fi ,	O O O O O O O O O O O O
○ ninggun biya i juwan de ,	O O O O O O O
ama bi emgeri uji he be daha me ,	O O O O O O O O O
deo beile sunja tanggū cooha be gai fi ,	O O O O O O O O O
jakūta honin bu he ,	O O O O O
suwen i emgi bisi re jakūnju niyalma be tatan ara fi ,	O O O O O O O O O O O O
jenjuken be ucara fi ,	PER-B O O O O
ilan fujin sargan ,	O O O O
