gege be ,	nv cm mark
suwen i monggo gurun uttu doro be efule me weile ara me yabu re be ,	pn cm nv nv nv nv cm verb e nv verb e verb e cm mark
bi donji ci ,	pn verb e mark
tere ci funce he cooha be ,	nv cm verb e nv cm mark
sin i harangga niyalma be gai fi ,	pn cm nv nv cm verb e mark
jai men i geren baisin niyalma i usin ,	nv pn cm nv nv nv cm nv mark
mao_wen_lung takūra ha emu giyansi be sere fi jafa ha seme wesibu fi beiguwan obu ha .	nn verb e nv nv cm verb e verb e comp verb e nv verb e mark
cooha be jobobu rakū ,	nv cm verb e mark
muse i beye enteheme banji mbi o ,	nv cm nv nv verb e ptcl mark
abatai_age ,	nn mark
suwen i monggo i cooha be gida fi niyalma ambula wa ha ,	pn cm nv cm nv cm verb e nv nv verb e mark
yabu ∅ seme ,	verb e comp mark
moo i toksikū fori me ,	nv cm nv verb e mark
tere ci ici ergi duin gūsa i cooha gene fi ,	nv cm nv nv nv nv cm nv verb e mark
in i siyoo_beiguwan be holto me amban ara fi ,	pn cm nn cm verb e nv verb e mark
jeku jakūn tanggū tofohon hule ,	nv nv nv nv nv mark
diyacin_tabunang ,	nn mark
dzung_bing_guwan de menggun duin yan ,	nv cm nv nv nv mark
orho turi be ,	nv nv cm mark
jalan goro yabu fi koro baha rahū ,	nv nv verb e nv verb e mark
emu minggan boigon ,	nv nv nv mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
○ orin ilan de ,	mark nv nv cm mark
dain dosi ka nergin de ,	nv verb e nv cm mark
sin de bithe bene mbi ,	pn cm nv verb e mark
han i gisun be jurce rakū ,	nv cm nv cm verb e mark
lung_king ni te he aniya jakūn biya i orin ilan de baha ha ,	nn cm verb e nv nv nv cm nv nv cm verb e mark
manggūltai_beile ,	nn mark
juwe jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
geren cooha i beile se ,	nv nv cm nv nv mark
tuttu tafula rakū niyalma gisun de akda me dosi fi ,	nv verb e nv nv cm verb e verb e mark
suwen i non i beile se i amata i jalan waji ha ,	pn cm nv cm nv nv cm nv cm nv verb e mark
sio_yan i boigon be han i te he dung_ging hecen de bi ci ,	nn cm nv cm nv cm verb e nn nv cm verb e mark
○ mandarhan ,	mark nn mark
ere gisun de isibu rakū niyalma be fucihi abka sa kini ,	nv nv cm verb e nv cm nv nv verb e mark
buyara me hubtu ume su me gaija ra ,	verb e nv nv verb e verb e mark
○ unege be wesibu fi fujiyang obu ha .	mark nn cm verb e nv verb e mark
ninggun tumen cooha be faksala fi unggi he ,	nv nv nv cm verb e verb e mark
niowanggiyaha i fe hūda i akdun niyalma be baica me tucibu fi ,	nn cm nv nv cm nv nv cm verb e verb e mark
sain be sain ,	nv cm nv mark
ama sin i ūren be ilibu fi wece mbi ,	nv pn cm nv cm verb e verb e mark
liyoodung ni baru cooha jura fi ,	nn cm nv nv verb e mark
han be te kini seme fonjibu ha manggi ,	nv cm verb e comp verb e nv mark
jakūnju olji baha ha .	nv nv verb e mark
amban sa ,	nv nv mark
alban i ihan de toron gida fi ,	nv cm nv cm nv verb e mark
be_tu_cang ni ergi de ilan ba de tuwa bi .	nn cm nv cm nv nv cm nv verb mark
muse emu šanggiyan morin wa fi ,	pn nv nv nv verb e mark
gimbasun se re ngge ,	nn verb e nmlz mark
kemir_ho_wei i dudu ciyanši fudangga i omolo todo_age ,	nn cm nv nv nv cm nv nn mark
da_he_šan ,	nn mark
udu mute rakū bi cibe ,	nv verb e verb e mark
jase i tule susai ba ci ebsi sunja ba ci casi ,	nv cm nv nv nv cm nv nv nv cm nv mark
emu niyalma be jušen seme amasi unggi me ,	nv nv cm nv comp nv verb e mark
duin ihan ,	nv nv mark
dagana ,	nn mark
burhanggū juwe beile in i eme be unggi he ,	nn nv nv pn cm nv cm verb e mark
mao_wen_lung ni giyansi be jafa fi benji he seme wesibu fi beiguwan obu ha .	nn cm nv cm verb e verb e comp verb e nv verb e mark
hai_si dolin_wei i du_jy_hūi_ši madangga i jui mudaode ,	nn nn cm nv nv cm nv nn mark
uttu emu niyalma be takūra ci ,	nv nv nv cm verb e mark
beikuwen de etu ci o mbi o ,	nv cm verb e verb e ptcl mark
anagan i ninggun biya i juwan uyun de gebu bu he .	nv cm nv nv cm nv nv cm nv verb e mark
tere be uthai tukiye fi hergen bu re amba obu ci ,	nv cm nv verb e nv verb e nv verb e mark
○ da_cing_pu i iogi lang_ši_dzai ,	mark nn cm nv nn mark
han be ama ara fi ,	nv cm nv verb e mark
wei_ning_ing ni hecen i šurde me juwan tofohon ba i jeku bisi re niyalma be hecen de dosimbu fi weri ∅ .	nn cm nv cm verb e nv nv nv cm nv verb e nv cm nv cm verb e verb e mark
tuttu donji ha ba de ,	nv verb e nv cm mark
wa ra be naka fi ,	verb e cm verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
beile se i boigon ara fi weri he ,	nv nv cm nv verb e verb e mark
emu ciyandzung de duin niyalma ,	nv nv cm nv nv mark
han hendu me ,	nv verb e mark
da ci hafan seme ,	nv cm nv comp mark
holdon tuwa dulebu he be ,	nv nv verb e cm mark
bi gūni ci ,	pn verb e mark
monggo i emu niyalma wabu habi ,	nv cm nv nv verb e mark
han ,	nv mark
ice jakūn de wasimbu ha ,	nv nv cm verb e mark
šorhoi be ,	nn cm mark
neigen bene me uhe je mbi kai ,	nv verb e nv verb e ptcl mark
nomin ,	nv mark
ginjeo de jušen kamci hakūbi kai ,	nn cm nv verb e ptcl mark
ineku tere aniya geli gemu amasi deo beile de dasa me bu he ,	nv nv nv nv nv nv nv nv cm verb e verb e mark
buce he seme ekiyende rakū seme ertu fi ji he cooha be ,	verb e comp verb e comp verb e verb e nv cm mark
○ buyantu be ,	mark nn cm mark
boo i uji he uji me ,	nv cm verb e verb e mark
fengse ,	nv mark
han ji fi geli afa me gai mbi kai ,	nv verb e nv verb e verb e ptcl mark
indahūn erin de hecen de dosi ka .	nv nv cm nv cm verb e mark
cooha be kadala me ete mbi seme ,	nv cm verb e verb e comp mark
lung_king ni sunjaci aniya jakūn biya i orin sunja de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
tere jui cira be tuwa ha de bi ebu re seme hendu he manggi ,	nv nv nv cm verb e cm pn verb e comp verb e nv mark
○ amba_efu gene fi dali ha io_tun_wei hecen i dorgi ,	mark nn verb e verb e nn nv cm nv mark
wang_guwan_cing ,	nn mark
juwete tanggū orita boso ,	nv nv nv nv mark
han i tukiye fi gosi me uji re baili be gūni me ,	nv cm verb e verb e verb e nv cm verb e mark
sain be sain ,	nv cm nv mark
○ orin emu de ,	mark nv nv cm mark
gemu emu han i irgen kai ,	nv nv nv cm nv ptcl mark
min i deo juwe feye baha ha ,	pn cm nv nv nv verb e mark
sin i ehe niyalma i ciha obu mbi o ,	pn cm nv nv cm nv verb e ptcl mark
lung_king ni sunjaci aniya de baha ha ,	nn cm nv nv cm verb e mark
monggo baksi jakūn sinda ∅ ,	nv nv nv verb e mark
fei_šusai gercile he ,	nn verb e mark
te emu minggan cooha be darhan_hiya gai fi nene me gene ∅ ,	nv nv nv nv cm nn verb e verb e verb e mark
tere juwe jušen be soktobu fi wa fi ,	nv nv nv cm verb e verb e mark
te re boo ,	verb e nv mark
dumduri ,	nn mark
suwen i beri musen ili ha ehe ,	pn cm nv nv verb e nv mark
ama bi urgunje mbi kai ,	nv pn verb e ptcl mark
fu_jeo ,	nn mark
te re boo ,	verb e nv mark
baising niru i saintu i nadan ihan be daihal_tabunang ,	nv nv cm nv cm nv nv cm nn mark
tongki fuka sinda ha hergen i dangse .	nv nv verb e nv cm nv mark
○ donggo_efu i gūsa de ,	mark nn cm nv cm mark
seke i dahū ilan ,	nv cm nv nv mark
nikan cooha i ili ha alin i dergi amba ninggu be gai fi fusihūn gida ki seme gene re de ,	nv nv cm verb e nv cm nv nv nv cm verb e nv verb e comp verb e cm mark
doro be kice me dasa mbi ,	nv cm verb e verb e mark
emu jalan i sunjata amban be ,	nv nv cm nv nv cm mark
liyoodung be baha ha manggi ,	nn cm verb e nv mark
ehe sain be dere bani rakū ,	nv nv cm nv verb e mark
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv cm verb e nv nv cm verb e verb e mark
nikan gurun i suila ra ngge tere inu ,	nv nv cm verb e nmlz nv nv mark
in i jui de hendu me ,	pn cm nv cm verb e mark
seke i mahala ,	nv cm nv mark
in i beye i sunja tanggū nikan baha ha seme jabuhai de nikan bu hekū ,	pn cm nv cm nv nv nv verb e comp nn cm nv verb e mark
han i pai be gai fi ,	nv cm nv cm verb e mark
šanaha i dorgi nikan be daila cina ,	nn cm nv nv cm verb e mark
morin de jeku be ume ulebu re ,	nv cm nv cm nv verb e mark
tung_fuma de emu morin ,	nn cm nv nv mark
amban sa ,	nv nv mark
an_šan i han i tokso i nikan ,	nn cm nv cm nv cm nv mark
○ nadan biya i ice nadan de ,	mark nv nv cm nv nv cm mark
muse i gurun i dolo aika ulin gai ha ,	nv cm nv cm nv nv nv verb e mark
fujiyang de ilata minggan haha bu he ,	nv cm nv nv nv verb e mark
han i beye cooha yabu ci ,	nv cm nv nv verb e mark
jase tulergi encu gurun i weile de daha ∅ be ,	nv nv nv nv cm nv cm verb e cm mark
abka beikuwere fi ,	nv verb e mark
iogi sin i beye hecen ci juwan ba i dube de isi tala gene fi tuwa me dube lashala fi unggi ∅ .	nv pn cm nv nv cm nv nv cm nv cm verb e verb e verb e nv verb e verb e mark
jafu bithe ali me gaija ra ,	nv nv verb e verb e mark
muse be gosi ha ba de ,	pn cm verb e nv cm mark
juwe jergi buce re weile be guwebu mbi ,	nv nv verb e nv cm verb e mark
jakūta de emu feye ,	nv cm nv nv mark
moobari ,	nn mark
darhan_hiya i alin i ninggu i boo de bene he ulin be gana ∅ seme takūra ha niyalma ,	nn cm nv cm nv cm nv cm verb e nv cm verb e comp verb e nv mark
anu de emte gecuheri etuku ,	nn cm nv nv nv mark
nangnuk ,	nn mark
suwe han i uji he baili be gūni me ,	pn nv cm verb e nv cm verb e mark
daha rakū ci ,	verb e e mark
banji ha ba ,	verb e nv mark
ihan ,	nv mark
han i bithe ,	nv cm nv mark
julesi gene re o ,	nv verb e ptcl mark
jui jafa fi bu mbi o seme hendu re jaka de ,	nv verb e verb e ptcl comp verb e nv cm mark
boo yada me jobo mbi ayoo ,	nv verb e verb e nv mark
dumei min be wa kini ,	nn pn cm verb e mark
